message,department
Poor hygiene in hospital this morning,Facilities
Poor hygiene in hospital,Facilities
Poor hygiene in hospital when I came,Facilities
Dust in patient room,Facilities
Dust in patient room this evening,Facilities
Dust in patient room yesterday,Facilities
Dust in patient room this evening,Facilities
Dust in patient room this morning,Facilities
Sanitization not done properly when I came,Facilities
Sanitization not done properly yesterday,Facilities
Sanitization not done properly for my appointment,Facilities
Sanitization not done properly this morning,Facilities
Sanitization not done properly today,Facilities
Reception staff helpful yesterday,General Services
Reception staff helpful yesterday,General Services
Reception staff helpful when I came,General Services
Reception staff helpful during consultation,General Services
Reception staff helpful yesterday,General Services
Security behavior good today,General Services
Security behavior good this morning,General Services
Security behavior good during consultation,General Services
Security behavior good this evening,General Services
Security behavior good for my appointment,General Services
Parking facility inadequate today,General Services
Parking facility inadequate,General Services
Parking facility inadequate when I came,General Services
Parking facility inadequate for my appointment,General Services
Parking facility inadequate during my visit,General Services
Overall service satisfactory for my appointment,General Services
Overall service satisfactory this morning,General Services
Overall service satisfactory during consultation,General Services
Overall service satisfactory today,General Services
Overall service satisfactory during my visit,General Services
Difficulty finding department during my visit,General Services
Difficulty finding department this evening,General Services
Difficulty finding department today,General Services
Difficulty finding department this morning,General Services
Difficulty finding department today,General Services
Information desk confusing for my appointment,General Services
Information desk confusing when I came,General Services
Information desk confusing yesterday,General Services
Information desk confusing for my appointment,General Services
Information desk confusing this morning,General Services
Hospital signage unclear when I came,General Services
Hospital signage unclear,General Services
Hospital signage unclear this morning,General Services
Hospital signage unclear for my appointment,General Services
Hospital signage unclear yesterday,General Services
Enquiry counter slow today,General Services
Enquiry counter slow this morning,General Services
Enquiry counter slow during my visit,General Services
Enquiry counter slow this evening,General Services
Enquiry counter slow,General Services
Crowd management poor during consultation,General Services
Crowd management poor this morning,General Services
Crowd management poor this morning,General Services
Crowd management poor this evening,General Services
Crowd management poor during consultation,General Services
Overall experience average this evening,General Services
Overall experience average this evening,General Services
Overall experience average this morning,General Services
Overall experience average this morning,General Services
Overall experience average yesterday,General Services
